Invoice,StockCode,Description,Category,Quantity,InvoiceDate,Price,Discount,ShippingCost,CustomerID,Country,AcquisitionChannel,RevenueNet
INV531756,GFT012,Premium hamper box,Packaging,7,2024-01-05 14:36:23,19.46,0.0,7.07,10134.0,United Kingdom,Organic,143.29
INV531756,GFT003,Handmade greeting card,Stationery,8,2024-01-05 14:36:23,2.84,0.1,4.56,10134.0,United Kingdom,Ads,25.01
INV531082,GFT008,Notebook botanical,Stationery,4,2024-01-05 15:58:01,7.76,0.0,4.47,10072.0,United Kingdom,Organic,35.51
INV531082,GFT007,Aroma diffuser,Home fragrance,10,2024-01-05 15:58:01,15.06,0.0,5.37,10072.0,United Kingdom,Ads,155.97
INV531171,GFT003,Handmade greeting card,Stationery,7,2024-01-06 06:39:28,1.83,0.0,4.74,10380.0,Australia,Organic,17.55
INV531557,GFT005,Tea towel cotton,Kitchen,-3,2024-01-06 07:20:47,3.54,0.05,3.35,10382.0,United Kingdom,Email,-6.74
INV531557,GFT019,Porcelain plate,Kitchen,9,2024-01-06 07:20:47,10.83,0.05,2.09,10382.0,United Kingdom,Email,94.69
INV531735,GFT012,Premium hamper box,Packaging,12,2024-01-07 14:36:44,17.6,0.0,2.14,10446.0,EIRE,Marketplace,213.34
INV530858,GFT017,Ribbon roll,Packaging,8,2024-01-08 01:42:24,1.84,0.05,3.35,10251.0,Australia,Referral,17.33
INV530858,GFT020,Room spray lavender,Home fragrance,9,2024-01-08 01:42:24,6.55,0.05,3.28,10251.0,Australia,Email,59.28
INV530056,GFT002,Ceramic mug floral,Kitchen,10,2024-01-08 06:42:19,5.89,0.0,6.66,10247.0,Spain,Organic,65.56
INV530290,GFT013,Scented wax melts,Home fragrance,12,2024-01-09 02:31:33,4.45,0.0,5.01,10398.0,Japan,Ads,58.41
INV530290,GFT003,Handmade greeting card,Stationery,3,2024-01-09 02:31:33,2.53,0.0,4.91,10398.0,Japan,Ads,12.5
INV531556,GFT017,Ribbon roll,Packaging,6,2024-01-09 09:40:57,2.0,0.0,7.49,10500.0,EIRE,Ads,19.49
INV531556,GFT001,Decorative candle set,Home decor,15,2024-01-09 09:40:57,5.4,0.0,4.09,10500.0,EIRE,Marketplace,85.09
INV530531,GFT005,Tea towel cotton,Kitchen,7,2024-01-09 14:23:39,4.22,0.0,5.51,10172.0,Switzerland,Organic,35.05
INV530611,GFT018,Holiday light string,Seasonal,6,2024-01-10 00:56:49,13.23,0.15,6.37,10727.0,EIRE,Referral,73.84
INV530611,GFT008,Notebook botanical,Stationery,3,2024-01-10 00:56:49,6.64,0.0,1.68,10727.0,EIRE,Marketplace,21.6
INV530611,GFT007,Aroma diffuser,Home fragrance,12,2024-01-10 00:56:49,17.05,0.1,4.72,10727.0,EIRE,Organic,188.86
INV530611,GFT012,Premium hamper box,Packaging,8,2024-01-10 00:56:49,18.84,0.1,5.61,,EIRE,Ads,141.26
INV530989,GFT018,Holiday light string,Seasonal,7,2024-01-10 20:10:14,14.45,0.15,5.47,10271.0,Canada,Marketplace,91.45
INV530989,GFT010,Glass storage jar,Kitchen,9,2024-01-10 20:10:14,7.52,0.0,5.0,10271.0,Canada,Email,72.68
INV530989,GFT017,Ribbon roll,Packaging,9,2024-01-10 20:10:14,2.31,0.0,2.98,10271.0,Canada,Organic,23.77
INV530989,GFT012,Premium hamper box,Packaging,9,2024-01-10 20:10:14,18.02,0.0,3.79,,Canada,Organic,165.97
INV531260,GFT017,Ribbon roll,Packaging,8,2024-01-10 22:45:14,2.36,0.0,5.13,10210.0,Germany,Organic,24.01
INV531260,GFT012,Premium hamper box,Packaging,12,2024-01-10 22:45:14,17.66,0.0,4.62,10210.0,Germany,Organic,216.54
INV531260,GFT008,Notebook botanical,Stationery,9,2024-01-10 22:45:14,6.82,0.05,5.33,10210.0,Germany,Marketplace,63.64
INV531481,GFT019,Porcelain plate,Kitchen,4,2024-01-10 23:12:04,11.31,0.2,4.47,10710.0,United Kingdom,Referral,40.66
INV531481,GFT011,Wooden ornament,Seasonal,3,2024-01-10 23:12:04,3.82,0.0,5.89,10710.0,United Kingdom,Ads,17.35
INV530123,GFT017,Ribbon roll,Packaging,8,2024-01-11 19:47:54,1.6,0.05,4.43,10615.0,France,Marketplace,16.59
INV530123,GFT018,Holiday light string,Seasonal,9,2024-01-11 19:47:54,14.62,0.0,5.59,10615.0,France,Organic,137.17
INV531193,GFT014,Desk calendar,Stationery,10,2024-01-12 00:30:04,12.49,0.0,2.69,10198.0,United Kingdom,Organic,127.59
INV531193,GFT018,Holiday light string,Seasonal,6,2024-01-12 00:30:04,12.99,0.0,4.33,10198.0,United Kingdom,Marketplace,82.27
INV531193,GFT010,Glass storage jar,Kitchen,8,2024-01-12 00:30:04,9.79,0.15,4.37,10198.0,United Kingdom,Marketplace,70.94
INV531193,GFT016,Kitchen apron,Kitchen,10,2024-01-12 00:30:04,14.81,0.2,4.71,10198.0,United Kingdom,Organic,123.19
INV531193,GFT009,Decorative pillow cover,Home decor,8,2024-01-12 00:30:04,10.37,0.0,5.04,10198.0,United Kingdom,Ads,88.0
INV530097,GFT017,Ribbon roll,Packaging,8,2024-01-12 11:58:03,1.66,0.0,7.1,10446.0,EIRE,Email,20.38
INV530097,GFT011,Wooden ornament,Seasonal,13,2024-01-12 11:58:03,3.8,0.15,6.08,,EIRE,Organic,48.07
INV530097,GFT020,Room spray lavender,Home fragrance,11,2024-01-12 11:58:03,6.78,0.0,5.89,10446.0,EIRE,Organic,80.47
INV530036,GFT001,Decorative candle set,Home decor,9,2024-01-13 07:34:56,7.5,0.0,3.85,10156.0,United Kingdom,Organic,71.35
INV530036,GFT012,Premium hamper box,Packaging,7,2024-01-13 07:34:56,22.23,0.0,6.85,10156.0,United Kingdom,Ads,162.46
INV530036,GFT011,Wooden ornament,Seasonal,5,2024-01-13 07:34:56,3.63,0.0,3.62,10156.0,United Kingdom,Email,21.77
INV530036,GFT013,Scented wax melts,Home fragrance,11,2024-01-13 07:34:56,3.99,0.05,5.18,10156.0,United Kingdom,Email,46.88
INV530674,GFT004,Vintage photo frame,Home decor,8,2024-01-13 17:00:52,13.21,0.05,5.86,10423.0,Netherlands,Organic,106.26
INV530674,GFT002,Ceramic mug floral,Kitchen,9,2024-01-13 17:00:52,5.89,0.1,2.95,10423.0,Netherlands,Ads,50.66
INV530674,GFT012,Premium hamper box,Packaging,9,2024-01-13 17:00:52,25.52,0.1,2.88,10423.0,Netherlands,Email,209.59
INV530674,GFT003,Handmade greeting card,Stationery,9,2024-01-13 17:00:52,2.3,0.0,3.04,10423.0,Netherlands,Organic,23.74
INV531718,GFT003,Handmade greeting card,Stationery,9,2024-01-13 18:19:05,2.61,0.0,3.28,10405.0,United Kingdom,Organic,26.77
INV531718,GFT008,Notebook botanical,Stationery,12,2024-01-13 18:19:05,5.44,0.0,3.63,10405.0,United Kingdom,Email,68.91
INV531718,GFT009,Decorative pillow cover,Home decor,9,2024-01-13 18:19:05,9.91,0.0,3.41,10405.0,United Kingdom,Referral,92.6
INV531718,GFT019,Porcelain plate,Kitchen,-4,2024-01-13 18:19:05,10.19,0.0,5.51,10405.0,United Kingdom,Marketplace,-35.25
INV531718,GFT010,Glass storage jar,Kitchen,8,2024-01-13 18:19:05,7.28,0.05,4.81,10405.0,United Kingdom,Organic,60.14
INV531780,GFT019,Porcelain plate,Kitchen,6,2024-01-14 12:33:39,11.39,0.0,3.48,10764.0,France,Ads,71.82
INV531780,GFT007,Aroma diffuser,Home fragrance,11,2024-01-14 12:33:39,17.19,0.0,1.37,10764.0,France,Referral,190.46
INV531780,GFT016,Kitchen apron,Kitchen,12,2024-01-14 12:33:39,8.85,0.0,3.67,10764.0,France,Organic,109.87
INV531780,GFT013,Scented wax melts,Home fragrance,11,2024-01-14 12:33:39,4.53,0.0,4.16,10764.0,France,Ads,53.99
INV531153,GFT002,Ceramic mug floral,Kitchen,8,2024-01-15 11:26:52,5.8,0.0,4.0,10645.0,United Kingdom,Ads,50.4
INV531153,GFT014,Desk calendar,Stationery,5,2024-01-15 11:26:52,10.94,0.0,5.37,10645.0,United Kingdom,Email,60.07
INV531153,GFT019,Porcelain plate,Kitchen,5,2024-01-15 11:26:52,10.33,0.15,3.17,10645.0,United Kingdom,Marketplace,47.07
INV531153,GFT008,Notebook botanical,Stationery,7,2024-01-15 11:26:52,5.56,0.0,5.81,10645.0,United Kingdom,Organic,44.73
INV531423,GFT004,Vintage photo frame,Home decor,9,2024-01-16 00:31:46,11.96,0.1,4.93,10309.0,Germany,Referral,101.81
INV531423,GFT011,Wooden ornament,Seasonal,11,2024-01-16 00:31:46,3.21,0.0,3.74,10309.0,Germany,Ads,39.05
INV531423,GFT018,Holiday light string,Seasonal,9,2024-01-16 00:31:46,12.59,0.1,2.55,,Germany,Ads,104.53
INV531363,GFT009,Decorative pillow cover,Home decor,6,2024-01-16 05:04:05,13.17,0.15,3.46,10163.0,United Kingdom,Organic,70.63
INV531363,GFT001,Decorative candle set,Home decor,206,2024-01-16 05:04:05,7.46,0.0,6.5,10163.0,United Kingdom,Email,1543.26
INV531363,GFT006,Gift bag medium,Packaging,8,2024-01-16 05:04:05,1.03,0.05,4.82,10163.0,United Kingdom,Ads,12.65
INV531363,GFT010,Glass storage jar,Kitchen,-5,2024-01-16 05:04:05,8.62,0.1,4.2,10163.0,United Kingdom,Organic,-34.59
INV530595,GFT013,Scented wax melts,Home fragrance,5,2024-01-16 06:00:06,5.2,0.1,4.37,10485.0,United Kingdom,Organic,27.77
INV530770,GFT012,Premium hamper box,Packaging,9,2024-01-16 22:54:53,21.26,0.0,4.29,10044.0,Belgium,Organic,195.63
INV531498,GFT017,Ribbon roll,Packaging,7,2024-01-16 23:36:49,2.1,0.05,3.69,10534.0,United Kingdom,Ads,17.66
INV531498,GFT009,Decorative pillow cover,Home decor,-7,2024-01-16 23:36:49,11.57,0.05,6.64,10534.0,United Kingdom,Ads,-70.3
INV531498,GFT002,Ceramic mug floral,Kitchen,7,2024-01-16 23:36:49,5.15,0.0,5.58,10534.0,United Kingdom,Organic,41.63
INV531498,GFT005,Tea towel cotton,Kitchen,6,2024-01-16 23:36:49,4.61,0.0,5.44,10534.0,United Kingdom,Marketplace,33.1
INV531498,GFT010,Glass storage jar,Kitchen,6,2024-01-16 23:36:49,6.47,0.0,6.49,10534.0,United Kingdom,Organic,45.31
INV531220,GFT001,Decorative candle set,Home decor,7,2024-01-17 02:53:03,8.72,0.0,5.81,10416.0,Italy,Ads,66.85
INV531220,GFT017,Ribbon roll,Packaging,9,2024-01-17 02:53:03,1.74,0.1,3.76,10416.0,Italy,Ads,17.85
INV531220,GFT011,Wooden ornament,Seasonal,13,2024-01-17 02:53:03,4.58,0.0,5.7,10416.0,Italy,Organic,65.24
INV530692,GFT012,Premium hamper box,Packaging,8,2024-01-17 07:08:00,23.38,0.05,2.83,10567.0,United Kingdom,Email,180.52
INV531516,GFT013,Scented wax melts,Home fragrance,11,2024-01-18 06:20:50,3.79,0.0,4.83,10119.0,Portugal,Organic,46.52
INV531516,GFT002,Ceramic mug floral,Kitchen,11,2024-01-18 06:20:50,4.91,0.1,6.65,10119.0,Portugal,Organic,55.26
INV531516,GFT001,Decorative candle set,Home decor,11,2024-01-18 06:20:50,8.14,0.05,4.57,10119.0,Portugal,Organic,89.63
INV531516,GFT006,Gift bag medium,Packaging,6,2024-01-18 06:20:50,1.29,0.1,3.7,10119.0,Portugal,Organic,10.67
INV531401,GFT004,Vintage photo frame,Home decor,11,2024-01-18 06:54:18,13.23,0.1,4.56,10277.0,Switzerland,Referral,135.54
INV530400,GFT016,Kitchen apron,Kitchen,8,2024-01-18 07:54:14,10.72,0.1,5.91,10534.0,United Kingdom,Organic,83.09
INV530400,GFT002,Ceramic mug floral,Kitchen,-1,2024-01-18 07:54:14,5.71,0.2,3.17,10534.0,United Kingdom,Ads,-1.4
INV530400,GFT011,Wooden ornament,Seasonal,7,2024-01-18 07:54:14,3.25,0.0,4.39,10534.0,United Kingdom,Referral,27.14
INV530400,GFT018,Holiday light string,Seasonal,7,2024-01-18 07:54:14,14.41,0.05,6.56,10534.0,United Kingdom,Organic,102.39
INV530400,GFT004,Vintage photo frame,Home decor,12,2024-01-18 07:54:14,14.43,0.0,6.19,10534.0,United Kingdom,Marketplace,179.35
INV530115,GFT020,Room spray lavender,Home fragrance,8,2024-01-18 18:27:20,8.82,0.2,4.16,10509.0,Switzerland,Organic,60.61
INV531219,GFT010,Glass storage jar,Kitchen,5,2024-01-19 02:27:19,6.62,0.0,5.9,10527.0,EIRE,Email,39.0
INV531219,GFT012,Premium hamper box,Packaging,10,2024-01-19 02:27:19,21.32,0.2,7.12,10527.0,EIRE,Email,177.68
INV531219,GFT006,Gift bag medium,Packaging,178,2024-01-19 02:27:19,1.08,0.0,6.37,10527.0,EIRE,Marketplace,198.61
INV531511,GFT005,Tea towel cotton,Kitchen,8,2024-01-19 03:02:57,3.29,0.1,5.73,10188.0,Germany,Ads,29.42
INV530574,GFT005,Tea towel cotton,Kitchen,8,2024-01-20 03:22:42,4.65,0.15,4.96,10698.0,Germany,Organic,36.58
INV531490,GFT003,Handmade greeting card,Stationery,218,2024-01-20 16:28:34,2.57,0.0,3.97,10074.0,Switzerland,Organic,564.23
INV531490,GFT002,Ceramic mug floral,Kitchen,12,2024-01-20 16:28:34,4.83,0.0,4.2,10074.0,Switzerland,Email,62.16
INV531438,GFT020,Room spray lavender,Home fragrance,9,2024-01-20 16:42:11,8.06,0.0,3.23,10579.0,United Kingdom,Email,75.77
INV531438,GFT002,Ceramic mug floral,Kitchen,11,2024-01-20 16:42:11,5.82,0.05,2.61,10579.0,United Kingdom,Organic,63.43
INV531438,GFT004,,Home decor,7,2024-01-20 16:42:11,10.43,0.0,4.93,10579.0,United Kingdom,Email,77.94
INV531438,GFT018,Holiday light string,Seasonal,7,2024-01-20 16:42:11,14.16,0.05,6.5,10579.0,United Kingdom,Organic,100.66
INV531067,GFT004,Vintage photo frame,Home decor,10,2024-01-20 17:20:06,8.89,0.0,3.98,10097.0,Finland,Marketplace,92.88
INV530747,GFT020,Room spray lavender,Home fragrance,3,2024-01-20 20:36:46,6.58,0.1,2.16,10322.0,France,Ads,19.93
INV530747,GFT012,Premium hamper box,Packaging,8,2024-01-20 20:36:46,18.99,0.1,2.09,10322.0,France,Ads,138.82
INV530350,GFT002,Ceramic mug floral,Kitchen,10,2024-01-21 17:38:20,6.17,0.0,5.39,10436.0,Germany,Organic,67.09
INV530350,GFT015,Mini plant pot,Home decor,-4,2024-01-21 17:38:20,5.98,0.0,4.28,10436.0,Germany,Organic,-19.64
INV530350,GFT006,Gift bag medium,Packaging,-4,2024-01-21 17:38:20,4.53,0.05,6.11,,Germany,Email,-11.1
INV530277,GFT019,Porcelain plate,Kitchen,11,2024-01-22 13:50:53,11.7,0.1,5.83,10261.0,Netherlands,Marketplace,121.66
INV530277,GFT013,Scented wax melts,Home fragrance,4,2024-01-22 13:50:53,4.55,0.0,6.83,10261.0,Netherlands,Marketplace,25.03
INV530462,GFT010,Glass storage jar,Kitchen,4,2024-01-22 23:40:46,8.21,0.0,5.59,10272.0,EIRE,Referral,38.43
INV530462,GFT018,Holiday light string,Seasonal,6,2024-01-22 23:40:46,14.81,0.0,5.06,10272.0,EIRE,Organic,93.92
INV530462,GFT015,Mini plant pot,Home decor,7,2024-01-22 23:40:46,6.65,0.0,7.81,10272.0,EIRE,Ads,54.36
INV530462,GFT013,Scented wax melts,Home fragrance,5,2024-01-22 23:40:46,4.68,0.0,5.12,10272.0,EIRE,Organic,28.52
INV530462,GFT019,Porcelain plate,Kitchen,10,2024-01-22 23:40:46,11.57,0.15,2.28,,EIRE,Marketplace,100.62
INV531114,GFT005,Tea towel cotton,Kitchen,-7,2024-01-23 04:04:57,3.47,0.05,4.92,10648.0,Germany,Organic,-18.16
INV531114,GFT002,Ceramic mug floral,Kitchen,5,2024-01-23 04:04:57,5.72,0.0,3.76,10648.0,Germany,Organic,32.36
INV530086,GFT019,Porcelain plate,Kitchen,3,2024-01-23 12:56:20,11.64,0.0,5.85,10001.0,Germany,Ads,40.77
INV530086,GFT015,Mini plant pot,Home decor,9,2024-01-23 12:56:20,7.92,0.0,5.26,10001.0,Germany,Organic,76.54
INV530086,GFT008,Notebook botanical,Stationery,12,2024-01-23 12:56:20,6.95,0.1,5.0,10001.0,Germany,Ads,80.06
INV530086,GFT006,Gift bag medium,Packaging,3,2024-01-23 12:56:20,1.19,0.0,3.86,10001.0,Germany,Organic,7.43
INV530655,GFT004,Vintage photo frame,Home decor,4,2024-01-24 02:35:28,12.45,0.2,5.82,10128.0,France,Organic,45.66
INV530655,GFT013,Scented wax melts,Home fragrance,8,2024-01-24 02:35:28,4.98,0.0,3.08,10128.0,France,Organic,42.92
INV530581,GFT001,Decorative candle set,Home decor,4,2024-01-24 08:44:45,8.21,0.05,2.33,10005.0,Belgium,Ads,33.53
INV530201,GFT002,Ceramic mug floral,Kitchen,6,2024-01-24 13:02:16,4.36,0.15,3.69,10011.0,Germany,Organic,25.93
INV530201,GFT017,Ribbon roll,Packaging,13,2024-01-24 13:02:16,2.25,0.0,3.57,10011.0,Germany,Organic,32.82
INV530201,GFT020,Room spray lavender,Home fragrance,10,2024-01-24 13:02:16,7.96,0.0,4.69,10011.0,Germany,Ads,84.29
INV530201,GFT001,Decorative candle set,Home decor,10,2024-01-24 13:02:16,8.8,0.0,5.39,10011.0,Germany,Organic,93.39
INV531698,GFT001,Decorative candle set,Home decor,4,2024-01-26 03:49:34,8.59,0.1,5.05,10163.0,United Kingdom,Organic,35.97
INV530767,GFT009,Decorative pillow cover,Home decor,12,2024-01-26 08:28:24,11.35,0.0,3.99,10475.0,United Kingdom,Ads,140.19
INV530767,GFT017,Ribbon roll,Packaging,16,2024-01-26 08:28:24,2.06,0.0,5.63,10475.0,United Kingdom,Marketplace,38.59
INV530767,GFT006,Gift bag medium,Packaging,6,2024-01-26 08:28:24,1.29,0.1,6.4,10475.0,United Kingdom,Organic,13.37
INV530767,GFT003,Handmade greeting card,Stationery,11,2024-01-26 08:28:24,2.21,0.05,4.57,10475.0,United Kingdom,Email,27.66
INV531562,GFT018,Holiday light string,Seasonal,10,2024-01-26 12:56:20,14.24,0.05,1.02,10213.0,United Kingdom,Marketplace,136.3
INV531562,GFT020,Room spray lavender,Home fragrance,7,2024-01-26 12:56:20,7.45,0.0,4.83,10213.0,United Kingdom,Email,56.98
INV531562,GFT015,Mini plant pot,Home decor,9,2024-01-26 12:56:20,5.76,0.0,3.79,10213.0,United Kingdom,Email,55.63
INV531326,GFT005,Tea towel cotton,Kitchen,8,2024-01-26 18:54:24,4.88,0.0,4.86,10544.0,EIRE,Marketplace,43.9
INV531326,GFT017,Ribbon roll,Packaging,8,2024-01-26 18:54:24,2.41,0.0,0.94,10544.0,EIRE,Organic,20.22
INV531326,GFT013,Scented wax melts,Home fragrance,3,2024-01-26 18:54:24,5.24,0.05,4.55,10544.0,EIRE,Marketplace,19.48
INV531326,GFT020,Room spray lavender,Home fragrance,12,2024-01-26 18:54:24,8.01,0.05,5.56,10544.0,EIRE,Organic,96.87
INV530139,GFT006,Gift bag medium,Packaging,6,2024-01-26 19:32:04,1.14,0.05,7.68,10634.0,United Kingdom,Organic,14.18
INV530139,GFT007,Aroma diffuser,Home fragrance,5,2024-01-26 19:32:04,18.8,0.0,6.44,10634.0,United Kingdom,Ads,100.44
INV530304,GFT002,Ceramic mug floral,Kitchen,6,2024-01-27 03:46:44,5.14,0.0,4.78,10034.0,France,Organic,35.62
INV530304,GFT010,Glass storage jar,Kitchen,6,2024-01-27 03:46:44,7.32,0.0,5.51,10034.0,France,Organic,49.43
INV530304,GFT009,Decorative pillow cover,Home decor,6,2024-01-27 03:46:44,9.47,0.1,5.01,10034.0,France,Organic,56.15
INV530304,GFT011,Wooden ornament,Seasonal,12,2024-01-27 03:46:44,3.29,0.2,6.72,10034.0,France,Email,38.3
INV530485,GFT017,Ribbon roll,Packaging,-4,2024-01-28 09:22:31,1.97,0.0,5.27,10739.0,United Kingdom,Organic,-2.61
INV530485,GFT013,Scented wax melts,Home fragrance,10,2024-01-28 09:22:31,5.71,0.0,3.58,10739.0,United Kingdom,Marketplace,60.68
INV530485,GFT010,Glass storage jar,Kitchen,11,2024-01-28 09:22:31,7.0,0.15,3.74,10739.0,United Kingdom,Email,69.19
INV530485,GFT009,Decorative pillow cover,Home decor,-6,2024-01-28 09:22:31,11.14,0.0,5.37,10739.0,United Kingdom,Referral,-61.47
INV530485,GFT011,Wooden ornament,Seasonal,7,2024-01-28 09:22:31,2.47,0.0,4.15,10739.0,United Kingdom,Marketplace,21.44
INV531590,GFT020,Room spray lavender,Home fragrance,11,2024-01-28 16:56:37,8.1,0.0,5.29,10146.0,United Kingdom,Email,94.39
INV531590,GFT010,Glass storage jar,Kitchen,9,2024-01-28 16:56:37,8.46,0.0,3.6,10146.0,United Kingdom,Email,79.74
INV531555,GFT004,Vintage photo frame,Home decor,8,2024-01-29 10:09:08,12.48,0.15,4.52,10609.0,United Kingdom,Email,89.38
INV531555,GFT015,Mini plant pot,Home decor,10,2024-01-29 10:09:08,7.66,0.05,6.44,10609.0,United Kingdom,Email,79.21
INV531555,GFT006,Gift bag medium,Packaging,8,2024-01-29 10:09:08,1.27,0.0,3.89,10609.0,United Kingdom,Organic,14.05
INV531555,GFT019,Porcelain plate,Kitchen,10,2024-01-29 10:09:08,10.05,0.0,4.8,10609.0,United Kingdom,Organic,105.3
INV531555,GFT020,Room spray lavender,Home fragrance,6,2024-01-29 10:09:08,7.39,0.1,4.43,10609.0,United Kingdom,Email,44.34
INV530818,GFT007,Aroma diffuser,Home fragrance,6,2024-01-29 16:15:32,17.2,0.0,6.48,10495.0,United Kingdom,Marketplace,109.68
INV531700,GFT020,Room spray lavender,Home fragrance,9,2024-01-29 20:47:27,8.0,0.0,5.84,10492.0,France,Marketplace,77.84
INV531653,GFT010,Glass storage jar,Kitchen,13,2024-01-30 01:06:53,9.65,0.0,4.31,10774.0,Germany,Email,129.76
INV531653,GFT003,Handmade greeting card,Stationery,8,2024-01-30 01:06:53,1.85,0.0,3.48,10774.0,Germany,Email,18.28
INV531653,GFT016,Kitchen apron,Kitchen,8,2024-01-30 01:06:53,13.97,0.0,5.34,10774.0,Germany,Referral,117.1
INV531653,GFT013,Scented wax melts,Home fragrance,3,2024-01-30 01:06:53,4.92,0.1,4.0,10774.0,Germany,Organic,17.28
INV530784,GFT015,Mini plant pot,Home decor,4,2024-01-30 06:05:40,7.47,0.15,6.21,10524.0,France,Organic,31.61
INV530784,GFT018,Holiday light string,Seasonal,10,2024-01-30 06:05:40,15.15,0.1,3.93,10524.0,France,Ads,140.28
INV531664,GFT013,Scented wax melts,Home fragrance,15,2024-01-30 12:02:54,4.27,0.05,4.64,10700.0,United Kingdom,Marketplace,65.49
INV531664,GFT006,Gift bag medium,Packaging,6,2024-01-30 12:02:54,1.08,0.15,2.22,10700.0,United Kingdom,Email,7.73
